OBJECTID;stop_id;stop_code;stop_name;stop_desc;E1 Υπάρχει Στέγαστρο?;E2 Υπάρχει κάθισμα?;Ε3 Ορατότητα;Ε4 Εξοχή πεζοδρομίου;Ε5 Τηλεματική;Ε6 Καθαριότητα;Σταθμός ΜΕΤΡΟ
992;690001;690001;ΣΤΑΘ.ΕΘΝ.ΑΜΥΝΑΣ;Επί της ΜΕΣΟΓΕΙΩΝ;;;;;;;Ναι
993;690003;690003;ΕΛΛΗΝΙΣΜΟΣ;Επί της ΑΓΓ.ΣΙΚΕΛΙΑΝΟΥ;Ναι, κακή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Όχι;Μέτρια;
994;690011;690011;ΕΛΛΗΝΙΣΜΟΣ;Επί της ΑΓ.ΣΙΚΕΛΙΑΝΟΥ;Όχι;Ναι, καλή κατάσταση;Καλή;Όχι;Όχι;Μέτρια;
995;690019;690019;ΟΙΚΟΛ.ΠΑΡΚΟ;Επί της ΜΑΚΡΥΓΙΑΝΝΗ;;;;;;;
996;690020;690020;2η ΧΟΛΑΡΓΟΥ;Επί της ΜΕΣΟΓΕΙΩΝ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Ναι;Καλή;
997;690021;690021;ΣΤΑΘΜΟ ΕΘΝ.ΑΜΥΝΑΣ;Επί της ΜΕΣΟΓΕΙΩΝ;;;;;;;
998;690022;690022;ΓΕΝΙΚΟ ΚΡΑΤΙΚΟ;Επί της ΜΕΣΟΓΕΙΩΝ;;;;;;;
999;690025;690025;ΤΕΡΜΑ (Ν.ΨΥΧΙΚΟ);Επί της ΑΓΓ.ΣΙΚΕΛΙΑΝΟΥ;Ναι, κακή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Όχι;Μέτρια;
1000;710001;710001;ΓΕΝΙΚΟ ΚΡΑΤΙΚΟ;Επί της ΜΕΣΟΓΕΙΩΝ;;;;;;;
1001;710002;710002;ΣΤΑΘΜΟ ΕΘΝ.ΑΜΥΝΑΣ;Επί της ΜΕΣΟΓΕΙΩΝ;;;;;;;Ναι
1002;710041;710041;ΑΠΟΒΙΒΑΣΗ ΕΠΙΒΑΤΩΝ;Επί της ΠΑΡΑΔΡΟΜΟΣ ΜΕΣΟΓΕΙΩΝ;;;;;;;
1003;710048;710048;ΣΤ.ΕΘΝ.ΑΜΥΝΑΣ;Επί της ΜΕΣΟΓΕΙΩΝ;;;;;;;
1004;710058;710058;ΑΦΕΤΗΡΙΑ 416;Επί της ΔΙΑΜ.ΠΛ.ΣΤ.ΕΘΝ.ΑΜΥΝΑΣ;;;;;;;
1005;710059;710059;ΑΦΕΤΗΡΙΑ 418;Επί της ΔΙΑΜ.ΠΛ.ΣΤ.ΕΘΝ.ΑΜΥΝΑΣ;;;;;;;
1006;710060;710060;ΑΦΕΤΗΡΙΑ;Επί της ΔΙΑΜ.ΠΛ.ΣΤ.ΕΘΝ.ΑΜΥΝΑΣ;;;;;;;
1007;420130;420130;ΒΙΟΦΑΡΜ;Επί της ΕΘΝΙΚΗ ΟΔΟΣ;Όχι;Όχι;Καλή;Όχι;Όχι;Καλή;
1008;420131;420131;ΡΟΣΙΝΙΟΛ;Επί της ΛΕΩΦ.ΚΗΦΙΣΟΥ;Ναι, κακή κατάσταση;Ναι, κακή κατάσταση (π.χ. είναι σπασμένο, έχει πρόχειρα γκράφιτι, είναι σκουριασμένο);Καλή;Όχι;Όχι;Κακή;
1009;420135;420135;ΟΠΑΠ;Επί της ΠΑΡΑΔΡΟΜΟ ΛΕΩΦ.ΚΗΦΙΣΟΥ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Όχι;Κακή;
1010;420136;420136;ΣΚΛΑΒΕΝΙΤΗ;Επί της ΛΕΩΦ.ΚΗΦΙΣΟΥ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Όχι;Μέτρια;
